# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
10

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
BODY,Fuselage,0,DYRSPTEUJJ,0,0,0,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, -2.100000000000000089e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,43,17
# x,y,z,u,w
-2.100000000000000089e+00, 3.750000000000000000e-01, 3.959999999999999631e-01, 1.000000000000000000e+00, 0.000000000000000000e+00
-2.100000000000000089e+00, 3.059097127337686572e-01, 3.164897228961283671e-01, 1.000000000000000000e+00, 2.500000000000000000e-01
-2.100000000000000089e+00, 2.104855910291955068e-01, 2.677889147495861599e-01, 1.000000000000000000e+00, 5.000000000000000000e-01
-2.100000000000000089e+00, 1.068878775312407936e-01, 2.400611877796638149e-01, 1.000000000000000000e+00, 7.500000000000000000e-01
-2.100000000000000089e+00, -1.665334536937734811e-16, 2.309999999999999276e-01, 1.000000000000000000e+00, 1.000000000000000000e+00
-2.100000000000000089e+00, -1.068878775312407936e-01, 2.400611877796638149e-01, 1.000000000000000000e+00, 1.250000000000000000e+00
-2.100000000000000089e+00, -2.104855910291956456e-01, 2.677889147495862154e-01, 1.000000000000000000e+00, 1.500000000000000000e+00
-2.100000000000000089e+00, -3.059097127337687683e-01, 3.164897228961284226e-01, 1.000000000000000000e+00, 1.750000000000000000e+00
-2.100000000000000089e+00, -3.750000000000000000e-01, 3.959999999999999631e-01, 1.000000000000000000e+00, 2.000000000000000000e+00
-2.100000000000000089e+00, -3.360367902689962993e-01, 5.032223439765243223e-01, 1.000000000000000000e+00, 2.250000000000000000e+00
-2.100000000000000089e+00, -2.329880224099172004e-01, 5.531711894030508780e-01, 1.000000000000000000e+00, 2.500000000000000000e+00
-2.100000000000000089e+00, -1.166222324529565535e-01, 5.593281621726892139e-01, 1.000000000000000000e+00, 2.750000000000000000e+00
-2.100000000000000089e+00, 0.000000000000000000e+00, 5.609999999999999432e-01, 1.000000000000000000e+00, 3.000000000000000000e+00
-2.100000000000000089e+00, 1.166222324529564980e-01, 5.593281621726892139e-01, 1.000000000000000000e+00, 3.250000000000000000e+00
-2.100000000000000089e+00, 2.329880224099174502e-01, 5.531711894030508780e-01, 1.000000000000000000e+00, 3.500000000000000000e+00
-2.100000000000000089e+00, 3.360367902689960218e-01, 5.032223439765244333e-01, 1.000000000000000000e+00, 3.750000000000000000e+00
-2.100000000000000089e+00, 3.750000000000000000e-01, 3.959999999999999631e-01, 1.000000000000000000e+00, 4.000000000000000000e+00
-2.050499999999999989e+00, 4.500000000000000111e-01, 3.629999999999999893e-01, 2.000000000000000000e+00, 0.000000000000000000e+00
-2.050499999999999989e+00, 3.862316459331751051e-01, 2.475495385668911030e-01, 2.000000000000000000e+00, 2.500000000000000000e-01
-2.050499999999999989e+00, 2.675032409890373830e-01, 1.820674775992760230e-01, 2.000000000000000000e+00, 5.000000000000000000e-01
-2.050499999999999989e+00, 1.356983915292812592e-01, 1.484679255964671263e-01, 2.000000000000000000e+00, 7.500000000000000000e-01
-2.050499999999999989e+00, -1.665334536937734811e-16, 1.379999999999999838e-01, 2.000000000000000000e+00, 1.000000000000000000e+00
-2.050499999999999989e+00, -1.356983915292811482e-01, 1.484679255964671263e-01, 2.000000000000000000e+00, 1.250000000000000000e+00
-2.050499999999999989e+00, -2.675032409890373830e-01, 1.820674775992759953e-01, 2.000000000000000000e+00, 1.500000000000000000e+00
-2.050499999999999989e+00, -3.862316459331751606e-01, 2.475495385668911585e-01, 2.000000000000000000e+00, 1.750000000000000000e+00
-2.050499999999999989e+00, -4.500000000000000111e-01, 3.629999999999999893e-01, 2.000000000000000000e+00, 2.000000000000000000e+00
-2.050499999999999989e+00, -4.191523395080851699e-01, 5.042520305447479867e-01, 2.000000000000000000e+00, 2.250000000000000000e+00
-2.050499999999999989e+00, -2.932383635877517936e-01, 5.735515635716493810e-01, 2.000000000000000000e+00, 2.500000000000000000e+00
-2.050499999999999989e+00, -1.470073241731971181e-01, 5.864098371612760374e-01, 2.000000000000000000e+00, 2.750000000000000000e+00
-2.050499999999999989e+00, 4.996003610813204432e-16, 5.879999999999999671e-01, 2.000000000000000000e+00, 3.000000000000000000e+00
-2.050499999999999989e+00, 1.470073241731982283e-01, 5.864098371612760374e-01, 2.000000000000000000e+00, 3.250000000000000000e+00
-2.050499999999999989e+00, 2.932383635877522932e-01, 5.735515635716492699e-01, 2.000000000000000000e+00, 3.500000000000000000e+00
-2.050499999999999989e+00, 4.191523395080850034e-01, 5.042520305447479867e-01, 2.000000000000000000e+00, 3.750000000000000000e+00
-2.050499999999999989e+00, 4.500000000000000111e-01, 3.629999999999999893e-01, 2.000000000000000000e+00, 4.000000000000000000e+00
-1.950177263081403822e+00, 4.668707550930644157e-01, 3.092222222222221761e-01, 2.333333333333333481e+00, 0.000000000000000000e+00
-1.950192063905136663e+00, 4.089193934396264662e-01, 1.727681742324956027e-01, 2.333333333333333481e+00, 2.500000000000000000e-01
-1.950251834780029059e+00, 2.897889679452672618e-01, 8.307983021898705800e-02, 2.333333333333333481e+00, 5.000000000000000000e-01
-1.950335478944494438e+00, 1.485002187778602378e-01, 3.404577984022717774e-02, 2.333333333333333481e+00, 7.500000000000000000e-01
-1.950378453881324914e+00, -9.887139529446357054e-17, 1.869719451448649192e-02, 2.333333333333333481e+00, 1.000000000000000000e+00
-1.950335478944494438e+00, -1.485002187778602101e-01, 3.404577984022724019e-02, 2.333333333333333481e+00, 1.250000000000000000e+00
-1.950251834780029059e+00, -2.897889679452674838e-01, 8.307983021898712739e-02, 2.333333333333333481e+00, 1.500000000000000000e+00
-1.950192063905136663e+00, -4.089193934396265218e-01, 1.727681742324957415e-01, 2.333333333333333481e+00, 1.750000000000000000e+00
-1.950177263081403822e+00, -4.668707550930644157e-01, 3.092222222222221761e-01, 2.333333333333333481e+00, 2.000000000000000000e+00
-1.950179676936326434e+00, -4.460826817655909049e-01, 4.730726121963223507e-01, 2.333333333333333481e+00, 2.250000000000000000e+00
-1.950179170654307903e+00, -3.311685241390829870e-01, 5.801530932868047552e-01, 2.333333333333333481e+00, 2.500000000000000000e+00
-1.950177531483763715e+00, -1.671085002096480698e-01, 6.056105414752034344e-01, 2.333333333333333481e+00, 2.750000000000000000e+00
-1.950177263081403822e+00, 2.929933730513461658e-16, 6.081300143523237223e-01, 2.333333333333333481e+00, 3.000000000000000000e+00
-1.950177531483763715e+00, 1.671085002096487082e-01, 6.056105414752034344e-01, 2.333333333333333481e+00, 3.250000000000000000e+00
-1.950179170654307903e+00, 3.311685241390834311e-01, 5.801530932868046442e-01, 2.333333333333333481e+00, 3.500000000000000000e+00
-1.950179676936326434e+00, 4.460826817655907384e-01, 4.730726121963225728e-01, 2.333333333333333481e+00, 3.750000000000000000e+00
-1.950177263081403822e+00, 4.668707550930644157e-01, 3.092222222222221761e-01, 2.333333333333333481e+00, 4.000000000000000000e+00
-1.792271543539466272e+00, 4.738936146991920562e-01, 2.456666666666666998e-01, 2.666666666666666519e+00, 0.000000000000000000e+00
-1.792216578333405863e+00, 4.242799381902043199e-01, 8.913387454156292133e-02, 2.666666666666666519e+00, 2.500000000000000000e-01
-1.791987625406795459e+00, 3.078566316922744517e-01, -2.563555766554436940e-02, 2.666666666666666519e+00, 5.000000000000000000e-01
-1.791646127018899692e+00, 1.594124686816232317e-01, -9.099921371565265760e-02, 2.666666666666666519e+00, 7.500000000000000000e-01
-1.791459610993914042e+00, -1.937781802357010912e-17, -1.115931922365246826e-01, 2.666666666666666519e+00, 1.000000000000000000e+00
-1.791646127018899692e+00, -1.594124686816232872e-01, -9.099921371565254657e-02, 2.666666666666666519e+00, 1.250000000000000000e+00
-1.791987625406795459e+00, -3.078566316922748403e-01, -2.563555766554413001e-02, 2.666666666666666519e+00, 1.500000000000000000e+00
-1.792216578333405863e+00, -4.242799381902044864e-01, 8.913387454156310175e-02, 2.666666666666666519e+00, 1.750000000000000000e+00
-1.792271543539466272e+00, -4.738936146991920006e-01, 2.456666666666666998e-01, 2.666666666666666519e+00, 2.000000000000000000e+00
-1.792262623889072426e+00, -4.657852248889630120e-01, 4.312021902657330874e-01, 2.666666666666666519e+00, 2.250000000000000000e+00
-1.792264496124563955e+00, -3.667319664805487323e-01, 5.786917900946080273e-01, 2.666666666666666519e+00, 2.500000000000000000e+00
-1.792270552592338584e+00, -1.858954796932480724e-01, 6.163061623761738606e-01, 2.666666666666666519e+00, 2.750000000000000000e+00
-1.792271543539466272e+00, 5.474462618575070181e-17, 6.190047258103031913e-01, 2.666666666666666519e+00, 3.000000000000000000e+00
-1.792270552592338362e+00, 1.858954796932481279e-01, 6.163061623761738606e-01, 2.666666666666666519e+00, 3.250000000000000000e+00
-1.792264496124563955e+00, 3.667319664805488433e-01, 5.786917900946080273e-01, 2.666666666666666519e+00, 3.500000000000000000e+00
-1.792262623889072648e+00, 4.657852248889629565e-01, 4.312021902657334760e-01, 2.666666666666666519e+00, 3.750000000000000000e+00
-1.792271543539466272e+00, 4.738936146991920562e-01, 2.456666666666666998e-01, 2.666666666666666519e+00, 4.000000000000000000e+00
-1.650374999999999925e+00, 4.749999999999999778e-01, 2.310000000000000109e-01, 3.000000000000000000e+00, 0.000000000000000000e+00
-1.650375000000000147e+00, 4.316616903734644684e-01, 6.824430950476292890e-02, 3.000000000000000000e+00, 2.500000000000000000e-01
-1.650375000000000147e+00, 3.191525156866437118e-01, -5.785014723011152465e-02, 3.000000000000000000e+00, 5.000000000000000000e-01
